Symbol,Industry,Series
SUNPHARMA,Healthcare,EQ
SUNTV,Media Entertainment & Publication,EQ
SUNDARMFIN,Financial Services,EQ
SUNDRMFAST,Automobile and Auto Components,EQ
SUPREMEIND,Capital Goods,EQ
SUZLON,Capital Goods,EQ
SWANCORP,Chemicals,EQ
SWIGGY,Consumer Services,EQ
SYNGENE,Healthcare,EQ
SYRMA,Capital Goods,EQ
TBOTEK,Consumer Services,EQ
TVSMOTOR,Automobile and Auto Components,EQ
TATACHEM,Chemicals,EQ
TATACOMM,Telecommunication,EQ
TCS,Information Technology,EQ
TATACONSUM,Fast Moving Consumer Goods,EQ
TATAELXSI,Information Technology,EQ
TATAINVEST,Financial Services,EQ
TMPV,Automobile and Auto Components,EQ
TATAPOWER,Power,EQ
TATASTEEL,Metals & Mining,EQ
TATATECH,Information Technology,EQ
TTML,Telecommunication,EQ
TECHM,Information Technology,EQ
TECHNOE,Construction,EQ
TEJASNET,Telecommunication,EQ
NIACL,Financial Services,EQ
RAMCOCEM,Construction Materials,EQ
THERMAX,Capital Goods,EQ
TIMKEN,Capital Goods,EQ
TITAGARH,Capital Goods,EQ
TITAN,Consumer Durables,EQ
TORNTPHARM,Healthcare,EQ
TORNTPOWER,Power,EQ
TARIL,Capital Goods,EQ
TRENT,Consumer Services,EQ
TRIDENT,Textiles,EQ
TRIVENI,Fast Moving Consumer Goods,EQ
TRITURBINE,Capital Goods,EQ
TIINDIA,Automobile and Auto Components,EQ
UCOBANK,Financial Services,EQ
UNOMINDA,Automobile and Auto Components,EQ
UPL,Chemicals,EQ
UTIAMC,Financial Services,EQ
ULTRACEMCO,Construction Materials,EQ
UNIONBANK,Financial Services,EQ
UBL,Fast Moving Consumer Goods,EQ
UNITDSPR,Fast Moving Consumer Goods,EQ
USHAMART,Capital Goods,EQ
VGUARD,Consumer Durables,EQ
DBREALTY,Consumer Services,EQ
VTL,Textiles,EQ
VBL,Fast Moving Consumer Goods,EQ
MANYAVAR,Consumer Services,EQ
VEDL,Metals & Mining,EQ
VENTIVE,Consumer Services,EQ
VIJAYA,Healthcare,EQ
VMM,Consumer Services,EQ
IDEA,Telecommunication,EQ
VOLTAS,Consumer Durables,EQ
WAAREEENER,Capital Goods,EQ
WELCORP,Capital Goods,EQ
WELSPUNLIV,Textiles,EQ
WHIRLPOOL,Consumer Durables,EQ
WIPRO,Information Technology,EQ
WOCKPHARMA,Healthcare,EQ
YESBANK,Financial Services,EQ
ZFCVINDIA,Automobile and Auto Components,EQ
ZEEL,Media Entertainment & Publication,EQ
ZENTEC,Capital Goods,EQ
ZENSARTECH,Information Technology,EQ
ZYDUSLIFE,Healthcare,EQ
ECLERX,Services,EQ
