TIMESTAMP,EXP_DATE,SYMBOL,INSTRUMENT,OPEN_PRICE,HI_PRICE,LO_PRICE,CLOSE_PRICE,OPEN_INT*,TRD_VAL,TRD_QTY,NO_OF_CONT,NO_OF_TRADE,OPEN_INT
2024-12-17,2025-01-30,HINDUNILVR,FUTSTK,2388.0,2401.05,2379.3,2388.2,1319700,747755115.0,312900,1043,991.0,1319700
2024-12-17,2025-02-27,HINDUNILVR,FUTSTK,2402.05,2412.0,2396.0,2403.1,169500,28863495.0,12000,40,40.0,169500
2024-12-18,2025-02-27,HINDUNILVR,FUTSTK,2412.0,2415.5,2387.7,2390.3,169200,13702290.0,5700,19,19.0,169200
2024-12-18,2025-01-30,HINDUNILVR,FUTSTK,2380.45,2404.25,2372.7,2376.45,1578600,1232495220.0,516300,1721,1501.0,1578600
2024-12-18,2024-12-26,HINDUNILVR,FUTSTK,2362.25,2387.0,2354.4,2358.35,13893000,5421663150.0,2286600,7622,6872.0,13893000
2024-12-19,2024-12-26,HINDUNILVR,FUTSTK,2383.85,2390.7,2339.0,2358.45,13495200,7700820465.0,3266400,10888,9606.0,13495200
2024-12-19,2025-01-30,HINDUNILVR,FUTSTK,2380.0,2405.45,2357.6,2377.2,2368800,3056122260.0,1287900,4293,3617.0,2368800
2024-12-19,2025-02-27,HINDUNILVR,FUTSTK,2380.0,2412.0,2351.6,2390.6,170700,45866220.0,19200,64,61.0,170700
2024-12-20,2024-12-26,HINDUNILVR,FUTSTK,2352.7,2373.3,2326.75,2334.85,11823000,11673087525.0,4964400,16548,14471.0,11823000
2024-12-20,2025-01-30,HINDUNILVR,FUTSTK,2363.85,2391.15,2345.0,2352.3,4971000,8625312030.0,3639300,12131,10745.0,4971000
2024-12-20,2025-02-27,HINDUNILVR,FUTSTK,2381.0,2403.4,2361.3,2368.2,172800,40745550.0,17100,57,55.0,172800
2024-12-23,2024-12-26,HINDUNILVR,FUTSTK,2340.05,2352.65,2315.85,2335.2,9985200,11577106365.0,4958700,16529,14622.0,9985200
2024-12-23,2025-01-30,HINDUNILVR,FUTSTK,2363.8,2368.55,2333.05,2352.05,8681400,12074234175.0,5134200,17114,15290.0,8681400
2024-12-23,2025-02-27,HINDUNILVR,FUTSTK,2380.0,2383.65,2352.15,2367.0,187200,85266855.0,36000,120,118.0,187200
2024-12-24,2025-01-30,HINDUNILVR,FUTSTK,2356.9,2374.75,2348.95,2354.85,12891600,15366432285.0,6506700,21689,15494.0,12891600
2024-12-24,2025-02-27,HINDUNILVR,FUTSTK,2367.7,2388.0,2367.05,2370.25,208500,128383440.0,54000,180,173.0,208500
2024-12-24,2024-12-26,HINDUNILVR,FUTSTK,2339.3,2359.85,2330.8,2340.15,5265300,14320677045.0,6101700,20339,14353.0,5265300
2024-12-26,2024-12-26,HINDUNILVR,FUTSTK,2339.6,2344.55,2321.35,2329.0,2581200,6432362280.0,2753400,9178,8407.0,2581200
2024-12-26,2025-01-30,HINDUNILVR,FUTSTK,2353.4,2366.15,2341.5,2346.15,14585100,8118933735.0,3453300,11511,10279.0,14585100
2024-12-26,2025-02-27,HINDUNILVR,FUTSTK,2366.3,2372.55,2356.95,2360.5,258000,211422900.0,89400,298,279.0,258000
2024-12-27,2025-01-30,HINDUNILVR,FUTSTK,2357.9,2361.4,2344.1,2352.9,14374800,3807108690.0,1617000,5390,4996.0,14374800
2024-12-27,2025-02-27,HINDUNILVR,FUTSTK,2362.0,2377.0,2362.0,2369.0,268200,128639880.0,54300,181,160.0,268200
2024-12-27,2025-03-27,HINDUNILVR,FUTSTK,2382.65,2393.35,2380.5,2387.45,6000,19322580.0,8100,27,26.0,6000
2024-12-30,2025-01-30,HINDUNILVR,FUTSTK,2359.95,2364.4,2338.25,2357.2,14462700,2345369745.0,996900,3323,3017.0,14462700
2024-12-30,2025-02-27,HINDUNILVR,FUTSTK,2369.0,2380.45,2355.0,2372.9,269700,47585580.0,20100,67,66.0,269700
2024-12-30,2025-03-27,HINDUNILVR,FUTSTK,2387.45,2393.65,2380.25,2392.95,11400,14324070.0,6000,20,18.0,11400
2024-12-31,2025-03-27,HINDUNILVR,FUTSTK,2385.55,2400.5,2374.5,2375.55,19800,45828570.0,19200,64,62.0,19800
2024-12-31,2025-02-27,HINDUNILVR,FUTSTK,2368.5,2383.35,2356.3,2358.5,351300,328098180.0,138600,462,438.0,351300
2024-12-31,2025-01-30,HINDUNILVR,FUTSTK,2360.85,2367.65,2341.0,2344.35,14559300,4233708840.0,1799100,5997,5615.0,14559300
2025-01-01,2025-01-30,HINDUNILVR,FUTSTK,2344.0,2351.95,2336.05,2338.35,14522400,2140862730.0,913800,3046,2785.0,14522400
2025-01-01,2025-02-27,HINDUNILVR,FUTSTK,2357.45,2365.5,2351.0,2352.95,362100,102539310.0,43500,145,130.0,362100
2025-01-01,2025-03-27,HINDUNILVR,FUTSTK,2374.5,2380.0,2369.0,2370.0,23400,12099825.0,5100,17,15.0,23400
2025-01-02,2025-01-30,HINDUNILVR,FUTSTK,2348.9,2388.85,2327.05,2381.35,14364900,6532843650.0,2761200,9204,8441.0,14364900
2025-01-02,2025-02-27,HINDUNILVR,FUTSTK,2353.8,2403.15,2342.0,2395.1,368400,165310845.0,69600,232,220.0,368400
2025-01-02,2025-03-27,HINDUNILVR,FUTSTK,2365.0,2412.5,2361.4,2411.85,23400,69479355.0,29100,97,81.0,23400
2025-01-03,2025-01-30,HINDUNILVR,FUTSTK,2377.7,2423.3,2374.0,2414.1,14124600,5334503130.0,2220600,7402,6480.0,14124600
2025-01-03,2025-02-27,HINDUNILVR,FUTSTK,2396.65,2435.7,2391.0,2426.7,367200,210190260.0,87000,290,256.0,367200
2025-01-03,2025-03-27,HINDUNILVR,FUTSTK,2415.1,2447.9,2411.85,2444.2,31800,35626005.0,14700,49,42.0,31800
2025-01-06,2025-02-27,HINDUNILVR,FUTSTK,2431.05,2433.0,2389.0,2399.75,371700,122670780.0,51000,170,168.0,371700
2025-01-06,2025-03-27,HINDUNILVR,FUTSTK,2445.9,2445.9,2409.4,2417.7,35700,21055275.0,8700,29,25.0,35700
2025-01-06,2025-01-30,HINDUNILVR,FUTSTK,2427.95,2437.95,2374.9,2384.6,14028000,5238782970.0,2192400,7308,6776.0,14028000
2025-01-07,2025-02-27,HINDUNILVR,FUTSTK,2408.7,2424.0,2399.75,2412.1,381300,123045705.0,51000,170,164.0,381300
2025-01-07,2025-03-27,HINDUNILVR,FUTSTK,2417.7,2435.9,2417.0,2426.0,35100,8008170.0,3300,11,10.0,35100
2025-01-07,2025-01-30,HINDUNILVR,FUTSTK,2387.7,2410.6,2383.75,2396.7,14023800,2799786180.0,1168200,3894,3442.0,14023800
2025-01-08,2025-01-30,HINDUNILVR,FUTSTK,2397.0,2413.85,2375.4,2406.6,14041500,3698979435.0,1541700,5139,4565.0,14041500
2025-01-08,2025-02-27,HINDUNILVR,FUTSTK,2409.25,2428.6,2390.15,2421.75,385800,171551220.0,71100,237,211.0,385800
2025-01-08,2025-03-27,HINDUNILVR,FUTSTK,2418.0,2442.15,2409.95,2437.0,35700,15297645.0,6300,21,21.0,35700
2025-01-09,2025-01-30,HINDUNILVR,FUTSTK,2415.0,2485.0,2392.0,2448.1,14393100,16701448245.0,6821100,22737,18712.0,14393100
2025-01-09,2025-02-27,HINDUNILVR,FUTSTK,2424.45,2500.0,2406.25,2463.6,436800,706303830.0,286200,954,881.0,436800
2025-01-09,2025-03-27,HINDUNILVR,FUTSTK,2439.9,2511.05,2432.0,2478.05,29400,70165635.0,28200,94,86.0,29400
2025-01-10,2025-01-30,HINDUNILVR,FUTSTK,2436.45,2462.0,2418.7,2446.9,14441100,7589925810.0,3107100,10357,8888.0,14441100
2025-01-10,2025-02-27,HINDUNILVR,FUTSTK,2463.0,2475.4,2435.6,2462.4,485400,408914025.0,166200,554,526.0,485400
2025-01-10,2025-03-27,HINDUNILVR,FUTSTK,2467.0,2485.05,2455.5,2476.75,29400,19275495.0,7800,26,24.0,29400
2025-01-13,2025-03-27,HINDUNILVR,FUTSTK,2450.0,2483.0,2450.0,2477.5,38100,48123795.0,19500,65,56.0,38100
2025-01-13,2025-02-27,HINDUNILVR,FUTSTK,2450.15,2472.9,2438.4,2464.8,574500,561539310.0,228300,761,603.0,574500
