INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTSTK    ,LICI      ,30/03/2026,00000859.00,00000862.90,00000857.70,00000862.90,000000000039200,        8428105.00,             9800,              014,              013
FUTSTK    ,LODHA     ,27/01/2026,00001121.80,00001140.70,00001107.00,00001114.70,000000012533400,     2256677415.00,          2013750,             4475,             3999
FUTSTK    ,LODHA     ,24/02/2026,00001134.80,00001146.80,00001115.60,00001121.10,000000000225900,       81771750.00,            72450,              161,              154
FUTSTK    ,LODHA     ,30/03/2026,00001150.70,00001150.70,00001122.00,00001128.80,000000000015750,        6620625.00,             5850,              013,              012
FUTSTK    ,LT        ,27/01/2026,00004145.00,00004175.00,00004102.00,00004164.30,000000013437550,     5579626272.50,          1347150,             7698,             6417
FUTSTK    ,LT        ,24/02/2026,00004180.80,00004201.40,00004126.70,00004191.00,000000000251300,      197479467.50,            47425,              271,              249
FUTSTK    ,LT        ,30/03/2026,00004200.00,00004225.00,00004166.00,00004213.30,000000000046900,      133954100.00,            31850,              182,              182
FUTSTK    ,LTF       ,27/01/2026,00000320.20,00000320.20,00000311.00,00000314.20,000000040002750,     4216672687.50,         13421250,             5965,             4319
FUTSTK    ,LTF       ,24/02/2026,00000318.15,00000319.25,00000312.75,00000315.75,000000001084500,      276144412.50,           875250,              389,              321
FUTSTK    ,LTF       ,30/03/2026,00000319.35,00000319.35,00000314.55,00000316.60,000000000252000,       50505862.50,           159750,              071,              066
FUTSTK    ,LTIM      ,27/01/2026,00006016.00,00006153.50,00006016.00,00006133.00,000000002312850,     3232670475.00,           528600,             3524,             2974
FUTSTK    ,LTIM      ,24/02/2026,00006059.50,00006175.00,00006059.50,00006162.50,000000000020850,       72807150.00,            11850,              079,              071
FUTSTK    ,LTIM      ,30/03/2026,00006105.00,00006190.50,00006098.00,00006190.50,000000000003300,       11049525.00,             1800,              012,              012
FUTSTK    ,LUPIN     ,27/01/2026,00002163.90,00002236.00,00002155.70,00002223.90,000000007278125,     6389406437.50,          2892125,             6805,             5808
FUTSTK    ,LUPIN     ,24/02/2026,00002179.00,00002245.50,00002173.60,00002234.40,000000000097750,      240767132.50,           108375,              255,              251
FUTSTK    ,LUPIN     ,30/03/2026,00002194.00,00002251.80,00002194.00,00002247.50,000000000011050,       20880377.50,             9350,              022,              021
FUTSTK    ,SAIL      ,27/01/2026,00000147.17,00000151.19,00000147.17,00000150.61,000000188752000,      290362146.00,          1936400,              412,              383
FUTSTK    ,SAIL      ,24/02/2026,00000147.82,00000150.00,00000147.82,00000149.04,000000006095900,       11166213.00,            75200,              016,              016
FUTSTK    ,SAIL      ,30/03/2026,00000149.66,00000149.66,00000149.66,00000149.66,000000000700300,         703402.00,             4700,              001,              001
FUTSTK    ,SAMMAANCAP,27/01/2026,00000149.48,00000151.94,00000148.97,00000150.74,000000116383800,       97550574.00,           649300,              151,              143
FUTSTK    ,SAMMAANCAP,24/02/2026,00000149.63,00000152.00,00000149.63,00000151.27,000000006841300,        4532888.00,            30100,              007,              007
FUTSTK    ,SAMMAANCAP,30/03/2026,00000152.56,00000152.56,00000152.56,00000152.56,000000000425700,         656008.00,             4300,              001,              001
