TIMESTAMP,INSTRUMENT,SYMBOL,EXP_DATE,OPEN_PRICE,HI_PRICE,LO_PRICE,CLOSE_PRICE,OPEN_INT*,TRD_VAL,TRD_QTY,NO_OF_CONT,NO_OF_TRADE,OPEN_INT
2018-03-26,FUTSTK,ICICIBANK,2018-03-28,276.4,283.8,275.75,282.45,63882500.0,16927972462.5,60513750.0,22005.0,15546.0,
2018-03-26,FUTSTK,ICICIBANK,2018-04-26,277.0,285.2,277.0,283.9,43067750.0,9280615300.0,33008250.0,12003.0,6781.0,
2018-03-26,FUTSTK,ICICIBANK,2018-05-31,281.0,284.75,277.95,284.4,756250.0,48748562.5,173250.0,63.0,61.0,
2018-03-27,FUTSTK,ICICIBANK,2018-03-28,284.05,287.55,281.7,284.1,35488750.0,17995717850.0,63087750.0,22941.0,14672.0,
2018-03-27,FUTSTK,ICICIBANK,2018-04-26,286.0,288.9,283.0,285.55,70958250.0,12096523725.0,42174000.0,15336.0,8289.0,
2018-03-27,FUTSTK,ICICIBANK,2018-05-31,288.0,289.05,286.0,286.35,767250.0,16595012.5,57750.0,21.0,21.0,
2018-03-28,FUTSTK,ICICIBANK,2018-03-28,282.65,283.0,277.7,278.45,16692500.0,11297762025.0,40408500.0,14694.0,9464.0,
2018-03-28,FUTSTK,ICICIBANK,2018-04-26,284.25,284.25,278.65,279.75,91509000.0,11230796912.5,39987750.0,14541.0,9568.0,
2018-03-28,FUTSTK,ICICIBANK,2018-05-31,284.0,284.0,280.0,280.35,841500.0,39517087.5,140250.0,51.0,50.0,
2018-04-02,FUTSTK,ICICIBANK,2018-04-26,275.05,275.05,260.0,263.15,101381500.0,30184916162.5,114061750.0,41477.0,36847.0,
2018-04-02,FUTSTK,ICICIBANK,2018-05-31,273.25,275.65,260.65,263.95,1122000.0,275412362.5,1039500.0,378.0,373.0,
2018-04-02,FUTSTK,ICICIBANK,2018-06-28,263.0,265.85,260.1,264.1,118250.0,53492312.5,203500.0,74.0,71.0,
2018-04-03,FUTSTK,ICICIBANK,2018-04-26,263.4,272.0,255.05,270.95,101004750.0,17138104637.5,64094250.0,23307.0,20890.0,
